,id,appearances,introduced,blue_eyes,identity_num,alignment_num,orientation_num,status_num,introduced_month_num,hair_num,gender_num
76,437867,1.0,1940.0,1,1,1,1,1,1,1,1
91,448489,1.0,1940.0,0,2,2,1,1,2,2,2
164,441633,1.0,1940.0,0,3,2,1,1,3,3,2
165,90942,1.0,1941.0,0,3,1,1,2,2,4,2
188,468107,1.0,1941.0,0,2,2,1,1,4,4,2
205,458817,1.0,1941.0,0,1,2,1,2,5,5,2
224,454847,1.0,1941.0,0,2,2,1,2,6,4,2
254,454048,1.0,1941.0,0,1,2,1,2,3,4,2
259,89814,1.0,1941.0,0,2,2,1,1,2,6,2
286,458594,1.0,1941.0,0,2,2,1,2,5,6,2
492,480251,1.0,1942.0,0,2,1,1,1,7,7,2
612,490134,1.0,1943.0,0,2,2,1,1,6,2,2
634,485917,1.0,1943.0,0,4,2,1,1,2,8,2
673,505442,1.0,1944.0,0,1,2,1,2,4,2,2
681,497649,1.0,1944.0,0,2,2,1,2,8,1,2
706,504651,1.0,1944.0,0,1,2,1,1,4,5,2
727,495227,1.0,1944.0,1,2,1,1,1,8,1,2
830,708935,1.0,1945.0,0,1,3,1,1,2,6,1
838,514183,1.0,1945.0,0,2,2,1,2,4,4,2
855,708966,1.0,1945.0,1,1,2,1,1,6,5,2
859,505245,1.0,1945.0,1,1,1,1,1,1,1,2
885,754718,1.0,1946.0,1,3,2,1,1,4,8,2
915,754692,1.0,1946.0,1,3,2,1,1,9,9,2
965,754889,1.0,1947.0,1,3,3,1,1,6,1,1
978,754883,1.0,1947.0,1,3,3,1,1,6,1,1
1025,755050,1.0,1948.0,1,3,2,1,2,4,6,2
1032,709775,1.0,1948.0,1,1,3,1,1,5,9,2
1041,709470,1.0,1948.0,1,1,1,1,1,2,1,2
1053,709481,1.0,1948.0,1,1,3,1,1,9,6,2
1068,709468,1.0,1948.0,1,1,1,1,1,2,5,1
1089,535095,1.0,1948.0,1,2,2,1,1,3,9,2
1115,718949,1.0,1949.0,1,1,3,1,1,8,1,2
1118,556172,1.0,1949.0,0,1,2,1,1,6,5,1
1127,548373,1.0,1949.0,0,1,2,1,2,1,3,2
1132,556058,1.0,1949.0,0,2,2,1,1,5,3,2
1137,710056,1.0,1949.0,1,1,2,1,1,1,5,2
1181,584717,1.0,1952.0,1,2,2,1,1,1,1,2
1183,46812,1.0,1952.0,1,2,2,1,1,10,5,1
1188,248592,1.0,1953.0,0,4,2,1,1,11,4,2
1190,611508,1.0,1953.0,1,2,2,1,1,4,10,2
1198,755108,1.0,1954.0,1,3,3,1,1,11,6,2
1207,488902,1.0,1954.0,0,1,4,1,1,6,4,2
1228,661617,1.0,1955.0,0,1,2,1,1,6,5,2
1248,281699,1.0,1960.0,0,1,3,1,1,9,1,2
1255,530091,1.0,1961.0,0,2,2,1,1,6,3,2
1266,503420,1.0,1962.0,1,4,4,1,1,9,9,1
1270,8014,1.0,1962.0,0,2,4,1,1,4,3,2
1309,511567,1.0,1963.0,1,2,4,1,1,7,5,2
1322,511566,1.0,1963.0,1,1,4,1,2,7,1,2
1323,244628,1.0,1963.0,1,2,2,1,1,7,4,2
1328,512985,1.0,1964.0,0,4,4,1,1,5,6,2
1331,513639,1.0,1964.0,0,4,4,1,2,7,6,2
1337,289323,1.0,1964.0,0,1,2,1,1,2,6,2
1353,507019,1.0,1964.0,0,2,2,1,1,4,5,2
1354,517045,1.0,1964.0,0,2,2,1,1,4,6,2
1358,513701,1.0,1964.0,0,4,4,1,1,5,1,2
1375,507066,1.0,1965.0,0,1,1,1,1,1,5,2
1378,292444,1.0,1965.0,0,4,2,1,1,11,5,2
1398,10213,1.0,1965.0,1,1,2,1,1,8,6,2
1402,514936,1.0,1966.0,0,4,4,1,1,10,5,2
1405,514941,1.0,1966.0,0,4,4,1,1,2,10,2
1415,297629,1.0,1966.0,0,1,3,1,2,11,10,2
1426,435239,1.0,1967.0,0,1,3,1,1,3,6,1
1436,123041,1.0,1967.0,0,2,2,1,1,11,5,2
1437,705824,1.0,1967.0,0,2,2,1,2,7,3,3
1438,446835,1.0,1967.0,0,1,2,1,1,6,6,1
1439,450001,1.0,1967.0,0,1,1,1,1,6,5,2
1465,546491,1.0,1968.0,0,4,2,1,2,4,5,2
1503,392590,1.0,1970.0,1,3,4,1,1,1,1,1
1512,116228,1.0,1970.0,1,4,1,1,2,2,6,2
1524,244342,1.0,1971.0,0,1,1,1,1,8,5,2
1527,742148,1.0,1971.0,0,2,2,1,1,12,3,2
1531,519091,1.0,1971.0,0,2,2,1,1,8,4,2
1551,721885,1.0,1972.0,1,3,4,1,1,4,6,1
1555,489659,1.0,1972.0,1,4,4,1,1,12,5,2
1556,702295,1.0,1972.0,0,3,4,1,1,8,5,2
1557,591205,1.0,1972.0,0,2,2,1,1,10,3,2
1558,489658,1.0,1972.0,1,4,4,1,1,12,8,1
1561,558214,1.0,1972.0,0,1,2,1,2,5,6,2
1565,721677,1.0,1972.0,0,3,2,1,1,7,4,2
1573,491345,1.0,1973.0,1,2,1,1,1,10,9,2
1574,655895,1.0,1973.0,1,1,1,1,1,7,6,2
1577,289319,1.0,1973.0,1,1,1,1,1,7,5,1
1585,509623,1.0,1973.0,0,1,4,1,1,7,9,2
1586,10203,1.0,1973.0,0,1,2,1,1,2,3,2
1591,729802,1.0,1973.0,1,1,1,1,1,9,1,2
1598,301708,1.0,1973.0,0,2,2,1,1,7,4,2
1599,21111,1.0,1973.0,1,2,4,1,1,9,6,2
1600,491353,1.0,1973.0,1,2,1,1,1,10,9,2
1602,494553,1.0,1973.0,0,4,2,1,1,10,5,2
1606,289316,1.0,1973.0,1,1,2,1,1,7,5,2
1610,289331,1.0,1973.0,1,3,1,1,1,7,5,2
1614,289317,1.0,1973.0,1,2,1,1,1,7,9,2
1615,658425,1.0,1973.0,1,1,1,1,1,9,1,1
1616,289318,1.0,1973.0,1,1,1,1,1,7,10,2
1619,491349,1.0,1973.0,1,2,1,1,1,10,9,2
1621,289325,1.0,1973.0,1,3,1,1,1,9,1,2
1627,723734,1.0,1974.0,1,3,3,1,1,12,6,1
1629,723736,1.0,1974.0,1,1,3,1,1,12,5,2
1634,63335,1.0,1974.0,0,4,3,1,2,11,6,2
1644,723731,1.0,1974.0,1,3,3,1,1,12,10,1
1655,100728,1.0,1975.0,1,2,4,1,1,12,5,1
1659,77220,1.0,1975.0,1,2,2,1,1,1,9,1
1664,154684,1.0,1975.0,0,2,3,1,1,3,3,4
1665,560202,1.0,1975.0,0,2,2,1,1,7,3,2
1675,723923,1.0,1975.0,1,1,2,1,2,7,10,2
1680,611367,1.0,1975.0,0,1,4,1,1,2,5,2
1682,116621,1.0,1975.0,0,2,2,1,1,12,3,2
1687,725673,1.0,1975.0,0,3,2,1,1,7,3,2
1689,723917,1.0,1975.0,1,1,1,1,1,2,1,1
1709,532724,1.0,1976.0,1,1,1,1,1,3,1,1
1716,251727,1.0,1976.0,0,4,2,1,1,9,6,2
1727,289334,1.0,1976.0,1,3,2,1,1,4,5,2
1730,532725,1.0,1976.0,1,1,2,1,1,3,1,4
1736,466966,1.0,1976.0,1,2,1,1,1,9,1,2
