id,name,identity,alignment,orientation,status,appearances,introduced,introduced_month,eyes,hair,gender
461528,Bardak,single,bad,straight,dead,1,1939,Dec.,,brown,male
657451,Bends (Masked Raider),single,bad,straight,dead,1,1939,Oct.,,,male
437129,Blackie Ross,single,bad,straight,alive,1,1939,Dec.,,black,male
642971,Bleck,single,neutral,straight,dead,1,1939,Oct.,,,male
437029,Cal Brunder,single,bad,straight,alive,1,1939,Oct.,,,male
437037,Constance Rand,single,good,straight,dead,1,1939,Oct.,,blond,female
727089,Dead Shot (Masked Raider),,bad,straight,alive,1,1939,Dec.,,,male
642926,Dr. Lang (The Big Boss),secret,bad,straight,alive,1,1939,Oct.,,brown,male
642226,Dutch Hansen,single,bad,straight,dead,1,1939,Oct.,,,male
641961,Ganya,single,neutral,straight,alive,1,1939,Dec.,,,female
642805,Gus Ronson,single,bad,straight,dead,1,1939,Oct.,,black,male
437168,Hook Tebbs,single,bad,straight,dead,1,1939,Dec.,,grey,male
352761,Jane Framan,single,good,straight,alive,1,1939,Dec.,,brown,female
642914,John Crafton,single,bad,straight,dead,1,1939,Oct.,,,male
642807,John Dillon,single,bad,straight,dead,1,1939,Oct.,,,male
642969,John Roberts,single,good,straight,alive,1,1939,Oct.,,grey,male
642934,Lil,,bad,straight,alive,1,1939,Oct.,,black,female
638958,Lola,single,bad,straight,alive,1,1939,Dec.,,blond,female
642970,Lordin,single,neutral,straight,alive,1,1939,Oct.,,,male
727088,Miguel (Masked Raider),,bad,straight,alive,1,1939,Dec.,,black,male
642968,Mike (John Crafton Gang),single,bad,straight,dead,1,1939,Oct.,,brown,male
642582,Mike Malone,single,bad,straight,dead,1,1939,Oct.,,bald,male
437139,Mister Lelong,secret,bad,straight,alive,1,1939,Dec.,,black,male
642949,Mubangi,single,bad,straight,dead,1,1939,Oct.,,black,male
744948,Officer Foley,single,good,straight,dead,1,1939,Dec.,,,male
639142,Pinkerton,single,neutral,straight,alive,1,1939,Dec.,,bald,male
745537,Prairie City Sheriff (Masked Raider),single,good,straight,alive,1,1939,Dec.,,grey,male
641381,Red (Blackie Ross Gang),,bad,straight,alive,1,1939,Dec.,,,male
642922,Rowdy,single,bad,straight,dead,1,1939,Oct.,,,male
727087,Shorty (Masked Raider),,bad,straight,alive,1,1939,Dec.,,,male
657434,Slick (Masked Raider),single,bad,straight,alive,1,1939,Oct.,,,male
642961,Slug (John Crafton Gang),single,bad,straight,alive,1,1939,Oct.,,,male
657447,Steve (Masked Raider),single,good,straight,alive,1,1939,Oct.,,,male
642808,Steve Enkel,single,bad,straight,dead,1,1939,Oct.,,,male
461533,Sulani,single,neutral,straight,alive,1,1939,Dec.,,,female
727086,Tex (Masked Raider),,bad,straight,dead,1,1939,Dec.,,,male
642960,Tim Roberts,single,good,straight,alive,1,1939,Oct.,,,male
744957,Tom (EMT),single,neutral,straight,alive,1,1939,Dec.,,,male
642581,Trigger Bolo,single,bad,straight,dead,1,1939,Oct.,,,male
641962,Tupat,single,neutral,straight,alive,1,1939,Dec.,,,male
461517,Wal-Lah,single,neutral,straight,alive,1,1939,Oct.,,,
461531,Zoro,single,neutral,straight,alive,1,1939,Dec.,,,male
335174,1X,public,good,straight,alive,1,1940,Mar.,,blond,male
335175,2X,public,good,straight,alive,1,1940,Mar.,,brown,male
335177,3X,public,good,straight,alive,1,1940,Mar.,,black,male
441247,Abwama,single,bad,straight,dead,1,1940,Jun.,,black,male
446024,Ali Hassan,single,bad,straight,alive,1,1940,Apr.,,black,male
445722,Alveroz Monez,single,bad,straight,dead,1,1940,Feb.,,bald,male
448897,Anna Twisdon,single,good,straight,alive,1,1940,Jun.,,blond,female
446378,Anson Dictor,single,bad,straight,alive,1,1940,May.,,black,male
439265,Aorangi,single,bad,straight,dead,1,1940,Mar.,,,male
447969,Ashok Sunga,single,bad,straight,dead,1,1940,Jun.,,black,male
442148,Baldwin Drake,single,bad,straight,alive,1,1940,Sep.,,black,male
448899,Balus,single,bad,straight,dead,1,1940,Jun.,,black,male
444960,Banker Wells,,bad,straight,alive,1,1940,Jan.,,black,male
439244,Ben Wallis,single,good,straight,alive,1,1940,Mar.,,,male
443011,Betty Crane,single,good,straight,alive,1,1940,Nov.,,black,female
446372,Betty Nestor,single,good,straight,alive,1,1940,May.,,blond,female
439708,Bill Dunn,public,good,straight,alive,1,1940,Apr.,,black,male
441241,Blackie Giles,public,bad,straight,alive,1,1940,Jun.,,black,male
448883,Bobbie Drew,single,good,straight,alive,1,1940,Jun.,,brown,female
446021,Bolo (5th Dimension),single,bad,straight,dead,1,1940,Apr.,,bald,male
441224,Boss Sapro,public,bad,straight,alive,1,1940,May.,,bald,male
741180,Brace (Masked Raider),,bad,straight,alive,1,1940,Jan.,,,male
442814,Brains Borelli,public,bad,straight,alive,1,1940,Nov.,,black,male
441706,Bruno Varoz,public,bad,straight,dead,1,1940,Aug.,,black,male
438843,Butch (Angel Foe),secret,bad,straight,dead,1,1940,Feb.,,bald,male
448863,Bwana Gambo,secret,bad,straight,alive,1,1940,Apr.,,white,male
748703,Captain Benson,single,good,straight,alive,1,1940,Jan.,,,male
437197,Captain Ott,secret,neutral,straight,alive,1,1940,Jan.,,,male
448887,Carl Formes (Earth-4096),public,bad,straight,dead,1,1940,Jun.,,brown,male
441658,Chadak,,good,straight,alive,1,1940,Jul.,,,male
446421,Chester Orsen,public,bad,straight,alive,1,1940,May.,,black,male
449377,Clip Walton,public,bad,straight,alive,1,1940,Aug.,,black,male
448636,Daniel Bascom,public,bad,straight,alive,1,1940,Mar.,,black,male
449390,Diana Lanford,public,good,straight,alive,1,1940,Aug.,,black,female
437867,Diane Carson,public,good,straight,alive,1,1940,Jan.,blue,blond,female
447806,Doctor Narr,,bad,straight,dead,1,1940,Jun.,,white,male
448475,Drake Maluski,secret,bad,straight,dead,1,1940,Mar.,,bald,male
448877,Emil Gar,public,bad,straight,dead,1,1940,Jun.,,brown,male
439717,Fenton (Poacher),,bad,straight,dead,1,1940,Apr.,,black,male
447758,Frances Dork,,bad,straight,dead,1,1940,Jun.,,black,male
448625,Fred Baxter,public,good,straight,alive,1,1940,Mar.,,black,male
448372,Fredrich Roth,public,bad,straight,dead,1,1940,Sep.,,bald,male
439702,Gabby Harris,,bad,straight,alive,1,1940,Apr.,,black,male
448885,Gale Brown,public,bad,straight,alive,1,1940,Jun.,,black,male
446448,Galu,,good,straight,alive,1,1940,May.,,,
448857,George Sporvan,public,bad,straight,dead,1,1940,Apr.,,brown,male
442817,Gnorr,secret,bad,straight,alive,1,1940,Nov.,,,
704249,Goettler,public,good,straight,dead,1,1940,Mar.,,brown,male
444071,Gordon Sanders,,neutral,straight,dead,1,1940,Dec.,,black,male
448489,Green Terror (3Xs Foe),secret,bad,straight,alive,1,1940,Mar.,green,green,male
442757,Grey Gidden,public,bad,straight,alive,1,1940,Oct.,,black,male
439249,Grimsey,public,bad,straight,alive,1,1940,Mar.,,grey,male
450055,Harold Schmidt,public,good,straight,alive,1,1940,Sep.,,white,male
441639,Hook,,bad,straight,alive,1,1940,Jul.,,black,male
449747,Horace Vanderveer,public,bad,straight,alive,1,1940,Aug.,,white,male
442133,Jane Bradley,,bad,straight,alive,1,1940,Sep.,,blond,female
448619,Janet Winslow,public,good,straight,alive,1,1940,Mar.,,blond,female
438700,Jed Sirrah,public,bad,straight,dead,1,1940,Jan.,,black,male
450057,Joan Winters,public,good,straight,alive,1,1940,Sep.,,blond,female
449393,Jose Abejaron,public,good,straight,alive,1,1940,Aug.,,black,male
439255,Kalph Belgri,single,bad,straight,dead,1,1940,Mar.,,black,male
448853,Karl Barko,single,bad,straight,alive,1,1940,Apr.,,brown,male
445704,King Bolo,public,good,straight,alive,1,1940,Feb.,,white,male
